date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:54	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ee1bbba-2748%22	https://s30745.pcdn.co/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://jordanbelfort.com/)
20:26:54	6817/6817	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ea66012-1aa1%22	https://s30745.pcdn.co/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min.js?ver=5.4.2	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min7661.js	(from https://jordanbelfort.com/)
20:26:55	1696/1696	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ea66012-6a0%22	https://s30745.pcdn.co/wp-content/themes/Divi/core/admin/js/recaptcha.js?ver=5.4.2	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/themes/Divi/core/admin/js/recaptcha7661.js	(from https://jordanbelfort.com/)
20:26:56	43/43	---MC-	405	error ('Not%20Allowed')	text/plain	date:Wed,%2008%20Jul%202020%2000:26:56%20GMT	https://jordanbelfort.com/xmlrpc.php?rsd	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/xmlrpc.f0db0.delayed	(from https://jordanbelfort.com/)
20:26:57	747/747	---MC-	200	added ('OK')	application/rss+xml	etag:%22cb93a1b4544ed267150287d167cb3a6b%22	https://jordanbelfort.com/comments/feed/	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/comments/feed/index.html	(from https://jordanbelfort.com/)
20:26:57	74/74	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2000:26:53%20GMT	https://jordanbelfort.com/?display_custom_css=css&ver=5.4.2	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/index320e.html	(from https://jordanbelfort.com/)
20:26:57	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225ee1bbba-415%22	https://s30745.pcdn.co/wp-includes/wlwmanifest.xml	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-includes/wlwmanifest.xml	(from https://jordanbelfort.com/)
20:26:58	124291/124291	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jul%202020%2000:26:56%20GMT	https://jordanbelfort.com/wp-json/	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/wp-json/index.html	(from https://jordanbelfort.com/)
20:26:59	2305/2305	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jul%202020%2000:26:58%20GMT	https://jordanbelfort.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanbelfort.com%2F	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/wp-json/oembed/1.0/embed9d7d.json	(from https://jordanbelfort.com/)
20:27:00	2399/2399	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Jul%202020%2000:26:59%20GMT	https://jordanbelfort.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanbelfort.com%2F&format=xml	/Users/sjey/desktop/JeyDaniels.Com/jordanbelfort.com/wp-json/oembed/1.0/embedb64d	(from https://jordanbelfort.com/)
20:27:01	482731/482731	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2006%20Jul%202020%2022:05:06%20GMT	https://rss.art19.com/the-wolfs-den	/Users/sjey/desktop/JeyDaniels.Com/rss.art19.com/the-wolfs-den	(from https://jordanbelfort.com/)
20:27:01	24627/24627	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f47f1934dec578b3ec2daacb7e61d9c9%22	https://static.zdassets.com/ekr/snippet.js?key=7d32fd55-b3b0-4d4c-9ac8-9c543d815c1f	/Users/sjey/desktop/JeyDaniels.Com/static.zdassets.com/ekr/snippet5f36.js	(from https://jordanbelfort.com/)
20:27:03	1332/1332	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f15c20df2ed3ead903a11e6d513eda63:1593136511.140086%22	http://munchkin.marketo.net/munchkin.js	/Users/sjey/desktop/JeyDaniels.Com/munchkin.marketo.net/munchkin.js	(from https://jordanbelfort.com/)
20:27:03	1640/1640	---M--	200	added ('OK')	image/png	etag:%225ce5cb0b-668%22	https://s30745.pcdn.co/wp-content/uploads/2018/12/JBFvcn-150x150.png	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/uploads/2018/12/JBFvcn-150x150.png	(from https://jordanbelfort.com/)
20:27:04	17855/17855	---M--	200	added ('OK')	image/png	etag:%225ce5cb0b-45bf%22	https://s30745.pcdn.co/wp-content/uploads/2018/12/JBFvcn.png	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/uploads/2018/12/JBFvcn.png	(from https://jordanbelfort.com/)
20:27:06	37340/37340	---MCZ	200	added ('OK')	text/css	etag:W/%225f04e6a3-91dc%22	https://s30745.pcdn.co/wp-content/et-cache/1839/et-core-unified-tb-1857-1839-15941567063451.min.css	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/et-cache/1839/et-core-unified-tb-1857-1839-15941567063451.min.css	(from https://jordanbelfort.com/)
20:27:06	219/219	---MCZ	200	added ('OK')	text/css	etag:W/%225f04e6a2-db%22	https://s30745.pcdn.co/wp-content/et-cache/1839/et-core-unified-1839-15941567063451.min.css	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/et-cache/1839/et-core-unified-1839-15941567063451.min.css	(from https://jordanbelfort.com/)
20:27:07	6943/6943	---M--	200	added ('OK')	image/png	etag:%225ea664c0-1b1f%22	https://s30745.pcdn.co/wp-content/uploads/2020/04/JB-logo-image.png	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/uploads/2020/04/JB-logo-image.png	(from https://jordanbelfort.com/)
20:27:08	47032/47032	---M--	200	added ('OK')	image/png	etag:%225ea66125-b7b8%22	https://s30745.pcdn.co/wp-content/uploads/2020/04/Podcast.png	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/uploads/2020/04/Podcast.png	(from https://jordanbelfort.com/)
20:27:09	26002/26002	---M--	200	added ('OK')	image/jpeg	etag:%225ea66126-6592%22	https://s30745.pcdn.co/wp-content/uploads/2020/04/Wolf-den-podcast.jpeg	/Users/sjey/desktop/JeyDaniels.Com/s30745.pcdn.co/wp-content/uploads/2020/04/Wolf-den-podcast.jpg	(from https://jordanbelfort.com/)
